,asin,reviewer,country,overall,title,review
122985,tt0266697,A60,united states,3,Surprisingly Boring," Really, the title says it all. I was especially surprised by the poor pacing. The vast majority of the film is spent explaining backstory, but the backstory isn't that interesting. ""The Bride"", as a meta-character, is inherently empty, as is most everything else in this film. Easily half the scenes could have been cut. Even the fight sequences (which make up about 10% of the film) seemed pointless. Some people I know who really liked this movie seem to have bought into its mythology. Clearly the film has its own world, it's just not a very surprising or interesting one. There are some good jokes here and there (the line of Aviator sunglasses across the police officer's dashboard comes to mind) but a few decent gags does not a good film make. I read in an interview with Tarantino that Kill Bill Vol. 2 is going to be ""slower"" than the first installment. Slower than this? Is that even possible? Looks like ""Kill Bill"" is treading into Tarkovsky territory, except you know, without any of that Russian existentialist poetic grace.   "
26880,tt0167261,a666333,canada,6,a definite step down from part 1,"People often worship this part of the trilogy but it was effectively ruined by the grossly unrealistic portrayal of the battles. A bit of rudimentary research could have prevented that up but Peter Jackson, who otherwise has a great eye for detail, clearly didn't respect his material or his audience enough to do his work properly, or, he was badly advised. spoilers follow For example; One does not launch mass cavalry charges down steep slopes. Anyone who has ever rode on a horse would know this. Historically, people have not been so crazy as it inevitably would lead to a mass pile up at the bottom and a complete disaster. One also does not charge cavalry directly into a well formed pike formation even on flat terrain, let alone down a slope. It is suicidal and skilled, experienced soldiers would avoid such tactics as a matter of routine. There were other very badly handled scenes but I won't start listing them all but they are there for anyone to see. It is really disappointing to create such wonderful costumes, bring in lots of motivated extras and state of the art SGI effects and then neglect to do even the most rudimentary research on the simple physics of battles (let alone intelligent tactics). It is also disappointing that the viewing public accepts such incompetence as justifiable ""artistic license"". As an analogy, think of an otherwise well produced WW2 movie that portrayed soldiers and equipment doing things that were physically impossible or downright crazy. Wouldn't that hurt any film that set itself up to be an epic?  "
27027,tt0167261,a666333,canada,6,a definite step down from part 1,"People often worship this part of the trilogy but it was effectively ruined by the grossly unrealistic portrayal of the battles. A bit of rudimentary research could have prevented that up but Peter Jackson, who otherwise has a great eye for detail, clearly didn't respect his material or his audience enough to do his work properly, or, he was badly advised. spoilers follow For example; One does not launch mass cavalry charges down steep slopes. Anyone who has ever rode on a horse would know this. Historically, people have not been so crazy as it inevitably would lead to a mass pile up at the bottom and a complete disaster. One also does not charge cavalry directly into a well formed pike formation even on flat terrain, let alone down a slope. It is suicidal and skilled, experienced soldiers would avoid such tactics as a matter of routine. There were other very badly handled scenes but I won't start listing them all but they are there for anyone to see. It is really disappointing to create such wonderful costumes, bring in lots of motivated extras and state of the art SGI effects and then neglect to do even the most rudimentary research on the simple physics of battles (let alone intelligent tactics). It is also disappointing that the viewing public accepts such incompetence as justifiable ""artistic license"". As an analogy, think of an otherwise well produced WW2 movie that portrayed soldiers and equipment doing things that were physically impossible or downright crazy. Wouldn't that hurt any film that set itself up to be an epic?  "
28215,tt0167261,a666333,canada,6,a definite step down from part 1,"People often worship this part of the trilogy but it was effectively ruined by the grossly unrealistic portrayal of the battles. A bit of rudimentary research could have prevented that up but Peter Jackson, who otherwise has a great eye for detail, clearly didn't respect his material or his audience enough to do his work properly, or, he was badly advised. spoilers follow For example; One does not launch mass cavalry charges down steep slopes. Anyone who has ever rode on a horse would know this. Historically, people have not been so crazy as it inevitably would lead to a mass pile up at the bottom and a complete disaster. One also does not charge cavalry directly into a well formed pike formation even on flat terrain, let alone down a slope. It is suicidal and skilled, experienced soldiers would avoid such tactics as a matter of routine. There were other very badly handled scenes but I won't start listing them all but they are there for anyone to see. It is really disappointing to create such wonderful costumes, bring in lots of motivated extras and state of the art SGI effects and then neglect to do even the most rudimentary research on the simple physics of battles (let alone intelligent tactics). It is also disappointing that the viewing public accepts such incompetence as justifiable ""artistic license"". As an analogy, think of an otherwise well produced WW2 movie that portrayed soldiers and equipment doing things that were physically impossible or downright crazy. Wouldn't that hurt any film that set itself up to be an epic?  "
32249,tt0133093,a94bf741,ireland,2,Urgh!," Went to see this with my girlfriend and we both spent the last hour just waiting for it to be over. If I wanted to see pretty effects, I'd watch a PC, I go the cinema to see films. Some half-a**ed ideas but thats all they were, half-a**ed. Dialogue was sometimes funnily bad but mostly just excruciating. I do not understand why this film has the status it does - it says very little for our culture that something so shallow and stupid can be held up as being somehow sublime.  "
37690,tt0118799,aa4353,united states,9,A must see movie,"Thank heaven for CDs. My family and I have watched this movie each year for the past two years. We still laugh, we still cry and we still get the message that love and humor are important in life. The father's love for his son and wife needs to be practiced today. The acting is good the directing is great. I do not feel that the actor who plays the son gets enough credit--his lines are delivered so child like (not the disrespectful attitude of children in most movies). This movie is not a documentary. Therefore, those who pan it as treating the holocaust irreverently are watching the movie with different color glasses. Many who have experienced serious injury, disease and war have used humor to endure.  "
112457,tt0077416,aa4353,united states,10,War is still the same,Read the reviews by date and one can tell which generation knows war and which does not. The effects shown on the characters is what we see on returning veterans from Iraq and Afghanistan. Regardless war is still the same and has lasting effects on the participants just as this movie shows. The acting is good because they are all professionals in the true sense of the word. The script is good because all of it is true to some degree for veterans of the Vietnam debacle. the scenes are authentic-. Racist against Vietnamese-it is what it was. The film should be viewed today as a good history lesson for all. The only thing that has changed is that the steel mill has probably closed.  
43282,tt0816692,AAAAAMovieFan,united states,3,A new genre is born: un-sci-fi or vague philosophical drivel for the masses,"Initially, this movie was an interesting approach to a well-worn plot... Environmental disaster causes colonization in space... The dust bowl setting was convincing and we wanted to sympathize with the engineer turned farmer and his family. A series of bizarre occurrences lead to a dash to save the world as we know it... And all science from the sci fi deserts us about halfway in... Apparently it's now sufficient to use a few familiar phrases... Relativity, wormhole, Gravity, space time continuum... Without actually tying any of it to a remotely possible set of scenarios... Where psychic connections, love conquers all and a little morse code suspend all science or reality and the good guys miraculously survive and conquer.  "
50542,tt0407887,aaabioy3,united states,8,Not His Best Film But Still Very Good,"Although The Departed is very entertaining and his best film since 1995 CASINO, this is one of Scorsese's more detached films. His films for the most part tend to be very personal and character driven. He does character studies on his characters exploring their flaws and weakness. The Departed is one of his few films that are actually plot driven and for the most part he does a fantastic job at it. When you think of all great Scorsese films it is the character that reveals the plot. In terms of guilt and redemption all his film posses this element. Taxi Driver, Raging Bull, Casino, Goodfellas all this films are character films, and we view life for the most part through the eyes of the protagonist. That besides the way that Scorsese stylize his films is more intriguing. The Departed is very entertaining and that is what film should be. This is commercial Scorsese at his best. Film was definitely geared toward the masses yet Scorsese has definitely left his usual stamp with his visuals. Film is visually stunning and that is partly due to his editor Thelma. Sound track is mediocre, I thought they used the song Gimme Shelter by the Stones too many times, where as when you think of Goodfellas and Casino, the same song was never used twice. Any way I saw it twice in the theatre and I am going to see it again.  "
98943,tt0113277,aaandrei68,romania,10,the best action thriller crime movie of all time!,"This 1995 Michael Mann film is, certainly, one of the best action movies ever and for no doubt my favorite alongside Tarantino's Reservoir Dogs.Even if for nowadays almost three hours of intense action may sound long, nothing is waisted here.The clash between De Niro and Pacino couldn't take place in a hour and a half average movie.What's extraordinary in this film is that one of my favorite actors, Val Kilmer, acts brilliant and what could seem impossible, to shine near De Niro and Pacino, he realizes.But the best thing about Heat(I know -a lot of superlatives...but it deserves)is how well the personal lives and each character life dramas are shown.In the average crime movies we can see a lot of shooting and that's all.Here, above the shooting, every character drama it's put in front.A definite 10/10  "
25951,tt1375666,aaaxx,turkey,7,Nice one but must be criticized,"First of all, I must admit that the movie is unique. I have never watched a movie with such a topic before. It is fascinating and players really made a nice work. Inspite of being well planned and nice performed, the end of the movie is awful. Please, think about a protagonist who checks out his ""totem"" ""immediately"" after he awakes all along the movie. But at the end, he doesn't do so. At the plane, he can check it out but no. When the plane lands, he can check it out but no. At last at the end of the movie, at home, he ""somehow"" remembers his totem but while he is checking it out, again ""shomehow"" he ignores it.  "
87085,tt0361748,aabaciu,romania,3,Tarantino is a Nazi in denial,"This movie tries to ""empower"" the good guys with the wicked means of the enemy (the Nazis in this case). This IMO is insulting to the people who actually fought those \nazi bastards. I think Tarantino is your average repressed sadistic white male who can't come to peace with his own intrinsic sadism and thus needs to pretend like he's actually being altruistic when portraying Jews as vicious killers who are basically behaving no better than the Nazis. The same thing he did with Django unchained only there we had black people behaving just as bad as white slavers. What pisses me of is that he won't admit it. He won't admit that he's just as evil as all the white men who committed horrible atrocities in the past and he desperately feels the need to bring Jews and blacks to that same level so that he may feel better about his own whiteness. It's OK, Quentin, just admit who you are! People will understand. We'll still watch your movies! Just spare yourself the pain man, it's OK.  "
64770,tt0910970,aabeene,united states,9,A Modern Love Story for the Stars,"While other animation studios are still digging into the same generic type of stories and characters that brought them to the dance years ago, Pixar continues to re-imagine the landscape of their craft. The best evidence for this lies in their latest offering, ""Wall-E."" In short, it's beautiful, even breathtaking in parts. In terms of animation, this is Pixar at the top of their game. When audiences aren't wooing over the latest technical achievements of the studio, they will be poignantly immersed in one of the finest love stories Disney has ever produced. Wall-E, Waste Allocation Load Lifter, Earth-Class, is designed to clean up planet Earth from the enormous amount of material waste covering land once home to life. More than just a robot, Wall-E has developed the most powerful emotion of all: love. When humans in space send another robot, Eve, to detect whether there is still life on Earth or not, Wall-E finds himself in love with a sleek white messenger sent on a mission. Many will point to the environmental messages found in ""Wall-E,"" and they are abundant. The idea that our consumerist society could get to a point where there was more human waste on our planet than actual life is daunting to say the least. There's also a warning that such a society built on this concept will become increasingly lazy and ultimately despondent to raw emotion which Wall-E craves. These themes should be commended more than anything else because Disney and Pixar actually had a will strong enough to put these ideas into perhaps their most mainstream film of the year. To label Wall-E as a part of some environmentally sound movement would be to undermine the core of the film. More than a message film or an animated one, ""Wall-E"" is a romantic comedy, plain and simple. One can go on and on about the beautiful effects and flawless character design, but when all is said and done, ""Wall-E's"" quest is to gain the love and affection of Eve; saving the world, ironically, is an objective that just kind of happens in the middle of his journey. The cinematic nods to previous works are endearing. One can clearly see the influence of ""2001: A Space Odyssey,"" but even more influential works seem to be the early efforts of famous silent film comics Buster Keaton and Charlie Chaplin. In fact, immediately after my initial ""Wall-E"" viewing, I couldn't help but think of the film as a space version of ""City Lights,"" Chaplin's greatest work, which just happened to be a silent one. The robots, the world, even the universe, tend to remain silent, but love speaks for them. In the current world of film, it's easy for a critic to declare a film an instant classic or a new masterpiece; such words easily flow out of our mouths after seeing a great work. However, it remains difficult for us to gush over a film with such affection and admiration as I have done for this one. ""Wall-E's"" not perfect, but no heart truly is. It can only do its best, and that's what this film does.  "
